train_accr,test_accr,cross_accr,train_word,test_word
0.978888888888889,0.967037037037037,0.969629629629629,lukas,l0k9s
0.983333333333333,0.972222222222222,0.972962962962962,lukas,lukas
0.871111111111111,0.855555555555556,0.821111111111116,lxkas,lukas
0.938888888888889,0.87,0.881111111111114,lukas,lukas
0.896666666666667,0.858888888888889,0.854444444444448,lukas,water
0.87,0.808888888888889,0.81555555555556,lukas,waxex
0.906666666666667,0.815555555555556,0.837777777777782,lukas,2ater
0.918888888888889,0.856666666666667,0.854444444444448,lukas,water
0.912222222222222,0.881111111111111,0.878888888888892,lukas,water
0.923333333333333,0.876666666666667,0.877777777777781,lukas,water
