train_accr,test_accr,cross_accr,train_word,test_word
0.985555555555556,0.963333333333333,0,lukas,f0kr0
0.99037037037037,0.972222222222222,0,lukas,lukas
0.968888888888889,0.753333333333333,0,lukas,lukap
0.981111111111111,0.794444444444444,0,lukas,luias
0.98,0.762222222222222,0,lukas,water
0.951111111111111,0.743333333333333,0,lukas,wcw2f
0.963333333333333,0.77,0,lukas,eater
0.984444444444444,0.825555555555556,0,lukas,water
0.978888888888889,0.831111111111111,0,lukas,water
0.981111111111111,0.825555555555556,0,lukas,wgter
